[2022-01-14 06:02:52,706][INFO] logging into ./results/hairGAN.log
[2022-01-14 06:03:05,993][INFO] found 20 images in the folder
[2022-01-14 06:03:05,993][INFO] Loading models for stylegan inversion.
[2022-01-14 06:03:05,993][INFO] Loading inverter model.
[2022-01-14 06:03:05,994][INFO] Build network for module `generator` in model `styleganinv_ffhq256`.
[2022-01-14 06:03:06,230][INFO] Loading pytorch weights from `/content/drive/My Drive/GAN/hairGAN/pretrained_models/styleganinv_ffhq256_generator.pth`.
[2022-01-14 06:03:12,668][INFO] Successfully loaded!
[2022-01-14 06:03:12,670][INFO] Current `lod` is 0.0.
[2022-01-14 06:03:12,671][INFO] Build network for module `encoder` in model `styleganinv_ffhq256`.
[2022-01-14 06:03:13,863][INFO] Loading pytorch weights from `/content/drive/My Drive/GAN/hairGAN/pretrained_models/styleganinv_ffhq256_encoder.pth`.
[2022-01-14 06:03:24,785][INFO] Successfully loaded!
[2022-01-14 06:03:28,401][INFO] Loading generator model.
[2022-01-14 06:03:28,949][INFO] Loading models for hypergan inpainting.
[2022-01-14 06:04:06,340][INFO] succesfully completed inpainting on 20 / 20 images
[2022-01-14 06:04:06,340][INFO] starting inversion!
[2022-01-14 06:04:25,456][DEBUG] Step: 00096, lr: 1.00e-02, loss_pix: 0.127, loss_ssim: 0.438, loss_feat: 2360.532, loss_reg: 0.143, loss: -0.984
[2022-01-14 06:04:25,575][DEBUG] Step: 00097, lr: 1.00e-02, loss_pix: 0.127, loss_ssim: 0.440, loss_feat: 2352.691, loss_reg: 0.143, loss: -0.989
[2022-01-14 06:04:25,697][DEBUG] Step: 00098, lr: 1.00e-02, loss_pix: 0.126, loss_ssim: 0.441, loss_feat: 2344.115, loss_reg: 0.142, loss: -0.995
[2022-01-14 06:04:25,817][DEBUG] Step: 00099, lr: 1.00e-02, loss_pix: 0.125, loss_ssim: 0.442, loss_feat: 2337.290, loss_reg: 0.142, loss: -1.000
[2022-01-14 06:04:25,936][DEBUG] Step: 00100, lr: 1.00e-02, loss_pix: 0.125, loss_ssim: 0.444, loss_feat: 2329.474, loss_reg: 0.141, loss: -1.005
[2022-01-14 06:04:26,056][DEBUG] Step: 00101, lr: 1.00e-02, loss_pix: 0.124, loss_ssim: 0.445, loss_feat: 2322.412, loss_reg: 0.141, loss: -1.010
[2022-01-14 06:04:26,174][DEBUG] Step: 00102, lr: 1.00e-02, loss_pix: 0.123, loss_ssim: 0.446, loss_feat: 2317.146, loss_reg: 0.140, loss: -1.015
[2022-01-14 06:04:26,293][DEBUG] Step: 00103, lr: 1.00e-02, loss_pix: 0.123, loss_ssim: 0.447, loss_feat: 2312.081, loss_reg: 0.140, loss: -1.020
[2022-01-14 06:04:26,412][DEBUG] Step: 00104, lr: 1.00e-02, loss_pix: 0.122, loss_ssim: 0.449, loss_feat: 2307.459, loss_reg: 0.140, loss: -1.025
[2022-01-14 06:04:26,532][DEBUG] Step: 00105, lr: 1.00e-02, loss_pix: 0.121, loss_ssim: 0.450, loss_feat: 2303.080, loss_reg: 0.139, loss: -1.030
[2022-01-14 06:04:26,651][DEBUG] Step: 00106, lr: 1.00e-02, loss_pix: 0.121, loss_ssim: 0.451, loss_feat: 2299.190, loss_reg: 0.139, loss: -1.035
[2022-01-14 06:04:26,769][DEBUG] Step: 00107, lr: 1.00e-02, loss_pix: 0.120, loss_ssim: 0.453, loss_feat: 2295.729, loss_reg: 0.138, loss: -1.040
[2022-01-14 06:04:26,888][DEBUG] Step: 00108, lr: 1.00e-02, loss_pix: 0.120, loss_ssim: 0.454, loss_feat: 2291.824, loss_reg: 0.138, loss: -1.045
[2022-01-14 06:04:27,008][DEBUG] Step: 00109, lr: 1.00e-02, loss_pix: 0.119, loss_ssim: 0.455, loss_feat: 2287.234, loss_reg: 0.138, loss: -1.050
[2022-01-14 06:04:27,129][DEBUG] Step: 00110, lr: 1.00e-02, loss_pix: 0.118, loss_ssim: 0.457, loss_feat: 2282.271, loss_reg: 0.138, loss: -1.055
[2022-01-14 06:04:27,247][DEBUG] Step: 00111, lr: 1.00e-02, loss_pix: 0.117, loss_ssim: 0.458, loss_feat: 2277.434, loss_reg: 0.137, loss: -1.060
[2022-01-14 06:04:27,366][DEBUG] Step: 00112, lr: 1.00e-02, loss_pix: 0.117, loss_ssim: 0.459, loss_feat: 2273.694, loss_reg: 0.137, loss: -1.065
[2022-01-14 06:04:27,484][DEBUG] Step: 00113, lr: 1.00e-02, loss_pix: 0.116, loss_ssim: 0.461, loss_feat: 2270.354, loss_reg: 0.137, loss: -1.070
[2022-01-14 06:04:27,603][DEBUG] Step: 00114, lr: 1.00e-02, loss_pix: 0.116, loss_ssim: 0.462, loss_feat: 2266.599, loss_reg: 0.137, loss: -1.075
[2022-01-14 06:04:27,724][DEBUG] Step: 00115, lr: 1.00e-02, loss_pix: 0.115, loss_ssim: 0.463, loss_feat: 2263.143, loss_reg: 0.137, loss: -1.080
[2022-01-14 06:04:27,843][DEBUG] Step: 00116, lr: 1.00e-02, loss_pix: 0.114, loss_ssim: 0.465, loss_feat: 2259.878, loss_reg: 0.137, loss: -1.085
[2022-01-14 06:04:27,961][DEBUG] Step: 00117, lr: 1.00e-02, loss_pix: 0.114, loss_ssim: 0.466, loss_feat: 2256.048, loss_reg: 0.136, loss: -1.090
[2022-01-14 06:04:28,080][DEBUG] Step: 00118, lr: 1.00e-02, loss_pix: 0.113, loss_ssim: 0.467, loss_feat: 2251.813, loss_reg: 0.136, loss: -1.095
[2022-01-14 06:04:28,201][DEBUG] Step: 00119, lr: 1.00e-02, loss_pix: 0.112, loss_ssim: 0.469, loss_feat: 2247.447, loss_reg: 0.136, loss: -1.100
[2022-01-14 06:04:28,320][DEBUG] Step: 00120, lr: 1.00e-02, loss_pix: 0.112, loss_ssim: 0.470, loss_feat: 2243.413, loss_reg: 0.136, loss: -1.105
[2022-01-14 06:04:28,439][DEBUG] Step: 00121, lr: 1.00e-02, loss_pix: 0.111, loss_ssim: 0.472, loss_feat: 2239.709, loss_reg: 0.136, loss: -1.110
[2022-01-14 06:04:28,558][DEBUG] Step: 00122, lr: 1.00e-02, loss_pix: 0.111, loss_ssim: 0.473, loss_feat: 2236.211, loss_reg: 0.135, loss: -1.115
[2022-01-14 06:04:28,679][DEBUG] Step: 00123, lr: 1.00e-02, loss_pix: 0.110, loss_ssim: 0.474, loss_feat: 2232.888, loss_reg: 0.135, loss: -1.120
